# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
48.661831,82.331753,27.258069,61.455039,0.865243,0.827267,0.873602,0.828240,0.210525,0.199614,0.211923,0.199685,0.894462,0.821268,0.940810,0.866589,2.000000,2.000000,2.000000,1.500000
38.341812,54.054691,27.080645,70.035622,0.868822,0.827223,0.872998,0.826332,0.206336,0.194787,0.206580,0.194711,0.939384,0.914556,0.957180,0.889295,2.000000,2.000000,2.000000,2.000000
42.062689,70.761452,18.478683,43.572444,0.899627,0.868002,0.907343,0.869430,0.206497,0.197939,0.207218,0.198028,0.904923,0.840059,0.958223,0.901514,2.000000,1.500000,1.500000,0.811278
35.764751,92.510387,33.706840,35.249781,0.874383,0.835471,0.873253,0.839129,0.202885,0.193214,0.202370,0.193422,0.922507,0.798887,0.926834,0.923369,0.811278,0.000000,0.000000,0.000000
19.806839,36.204452,10.815164,20.063274,0.577283,0.511757,0.576259,0.511544,0.098627,0.089356,0.098387,0.089233,0.919293,0.852485,0.956046,0.918252,0.000000,0.000000,0.000000,0.000000
28.389430,54.202623,18.896510,34.991233,0.877535,0.830948,0.883710,0.831945,0.201764,0.188706,0.203064,0.188777,0.925606,0.857949,0.950481,0.908297,1.500000,0.000000,0.000000,0.000000
43.639740,72.476812,21.126985,49.925681,0.892038,0.862536,0.899560,0.863887,0.185970,0.178826,0.186502,0.178914,0.908552,0.848134,0.955720,0.895387,2.000000,0.811278,0.811278,0.000000
31.156598,52.177322,24.328784,53.399997,0.878781,0.835483,0.881901,0.835705,0.180612,0.170096,0.180884,0.170092,0.942315,0.903387,0.954944,0.901123,2.000000,2.000000,2.000000,0.811278
27.156218,34.679127,10.723455,37.861873,0.920683,0.890113,0.923504,0.890143,0.201872,0.194072,0.201820,0.194088,0.939826,0.923138,0.976237,0.916084,2.000000,2.000000,2.000000,2.000000
43.005077,93.511900,31.802045,46.889069,0.899864,0.865270,0.900193,0.866878,0.200436,0.191618,0.200064,0.191715,0.922218,0.830805,0.942441,0.915162,2.000000,2.000000,2.000000,1.500000
21.300120,37.733721,15.955929,32.702251,0.916969,0.882720,0.917218,0.883003,0.223185,0.213476,0.222898,0.213493,0.934267,0.883544,0.950743,0.899073,0.000000,0.000000,0.000000,0.000000
32.094565,49.260127,11.754273,34.393437,0.884174,0.842726,0.897532,0.843432,0.216856,0.205015,0.219431,0.205063,0.907241,0.857610,0.966016,0.900583,0.000000,0.000000,0.000000,0.000000
30.953129,58.848111,18.620831,33.354734,0.909966,0.870232,0.911025,0.871405,0.208712,0.198642,0.208464,0.198701,0.918949,0.845773,0.951206,0.912585,1.500000,2.000000,2.000000,0.000000
16.752755,23.528415,7.756773,22.976652,0.908766,0.860368,0.910052,0.860536,0.236832,0.221752,0.236331,0.221779,0.921839,0.890202,0.963796,0.892777,2.000000,2.000000,2.000000,0.000000
15.165309,25.723055,7.877156,17.835109,0.918053,0.883145,0.920211,0.884194,0.220913,0.210820,0.220755,0.210899,0.931899,0.884470,0.964612,0.919897,0.811278,0.811278,0.811278,0.811278
25.463727,32.796626,17.766921,46.394720,0.508612,0.445122,0.501580,0.441583,0.083765,0.075824,0.082854,0.075377,0.946840,0.931527,0.963127,0.903138,0.811278,0.811278,0.811278,0.811278
38.833411,51.002058,31.560464,81.551441,0.861789,0.819727,0.863894,0.817733,0.214658,0.202325,0.214739,0.202093,0.937358,0.917595,0.948992,0.868236,2.000000,2.000000,2.000000,1.500000
26.023885,43.269717,17.107220,38.267737,0.906284,0.870329,0.906466,0.870598,0.231439,0.221117,0.231303,0.221127,0.917127,0.861454,0.945215,0.877470,1.500000,0.811278,0.811278,0.000000
23.067974,39.381269,13.298723,29.364398,0.884056,0.832394,0.885220,0.833588,0.190313,0.177187,0.189785,0.177260,0.947533,0.910276,0.969698,0.933098,2.000000,2.000000,2.000000,2.000000
29.834385,48.622621,23.962342,53.271574,0.902247,0.862870,0.904884,0.862532,0.199154,0.188412,0.199929,0.188352,0.933634,0.891739,0.946638,0.881388,1.500000,0.811278,0.811278,0.811278
7.405233,20.242993,9.308833,11.136503,0.755491,0.682513,0.757204,0.681815,0.178343,0.157934,0.180241,0.157585,0.981607,0.949657,0.976883,0.972304,0.000000,0.000000,0.000000,0.000000
8.359180,19.158419,8.913441,13.696743,0.758537,0.683860,0.757137,0.682499,0.167819,0.148692,0.169116,0.148081,0.981349,0.957080,0.980036,0.969315,0.000000,0.000000,0.000000,0.000000
16.563977,25.782648,7.967609,21.058154,0.729030,0.659849,0.743085,0.657391,0.203124,0.179714,0.207719,0.178695,0.912000,0.863051,0.957816,0.888147,0.000000,0.000000,0.000000,0.000000
17.591915,33.106386,12.040651,23.075785,0.702400,0.623669,0.705314,0.623708,0.159902,0.139736,0.161407,0.139618,0.934358,0.876407,0.955045,0.913853,0.000000,0.000000,0.000000,0.000000
