# Contrast1,Contrast2,Contrast3,Contrast4,homogeneity1,homogeneity2,homogeneity3,homogeneity4,energy1,energy2,energy3,energy4,correlation1,correlation2,correlation3,correlation4,entropy1,entropy2,entropy3,entropy4
13.955002,22.185576,8.842216,21.487190,0.963512,0.941961,0.976904,0.943793,0.818559,0.770587,0.830806,0.773250,4.049811,4.234936,4.005931,4.216794,0.210713,0.193066,0.214297,0.194489
20.943763,38.792203,11.839217,23.905152,0.920284,0.851790,0.954757,0.908669,0.836614,0.793591,0.844239,0.798240,3.744267,3.914649,3.692880,3.881521,0.240548,0.223271,0.243235,0.223999
37.192776,48.234442,21.565819,63.863014,0.918520,0.894241,0.952686,0.859974,0.793156,0.756742,0.795284,0.750830,4.551608,4.716700,4.520435,4.751540,0.178457,0.166129,0.179031,0.164524
11.997114,19.535766,6.940336,16.717799,0.918629,0.867397,0.952877,0.886525,0.854605,0.814100,0.862206,0.814399,3.573416,3.724872,3.527383,3.722026,0.243463,0.227023,0.247198,0.226727
28.489074,42.356713,17.566512,46.326774,0.918369,0.878570,0.949669,0.867186,0.796447,0.748946,0.805902,0.747858,4.176872,4.354871,4.119673,4.361291,0.194648,0.177994,0.197117,0.177757
12.314971,19.177423,9.801149,22.929573,0.934359,0.896563,0.947304,0.876238,0.818049,0.763935,0.814978,0.762152,4.043755,4.241602,4.049483,4.252399,0.195807,0.177881,0.195520,0.177133
14.715357,24.237563,10.523049,24.127183,0.946135,0.910341,0.961116,0.910761,0.836950,0.790652,0.840592,0.792242,4.063730,4.243873,4.039119,4.236430,0.194651,0.180040,0.196564,0.180391
20.812049,30.019075,11.882261,32.191497,0.902091,0.858482,0.943977,0.848238,0.787044,0.738375,0.801584,0.740377,4.253927,4.429444,4.177375,4.427323,0.176645,0.161490,0.181248,0.162104
11.620756,20.924353,6.433067,13.765035,0.977040,0.958612,0.987276,0.972773,0.851029,0.804102,0.850193,0.810398,4.135888,4.312980,4.117608,4.282910,0.198926,0.184655,0.199457,0.185538
7.199407,14.288448,4.724878,8.323764,0.966426,0.933297,0.977944,0.961142,0.848747,0.802005,0.854281,0.805185,3.929132,4.096883,3.897900,4.077259,0.203604,0.187642,0.206564,0.188345
18.046945,27.509940,13.747153,33.133263,0.914967,0.870379,0.935232,0.843883,0.831824,0.785553,0.833050,0.785747,3.580735,3.761480,3.576592,3.763416,0.262008,0.241071,0.261759,0.241779
26.733771,52.915748,18.249109,33.311378,0.938800,0.878879,0.958211,0.923753,0.859784,0.830247,0.863742,0.830820,4.493853,4.642106,4.466092,4.628996,0.156798,0.147314,0.157805,0.147270
12.908548,23.070323,8.169871,17.244482,0.960833,0.929740,0.975123,0.947483,0.818467,0.766687,0.821645,0.767857,4.146644,4.331495,4.119291,4.322508,0.192817,0.175964,0.194689,0.175982
12.559797,22.826256,8.312051,16.981846,0.953985,0.916077,0.969440,0.937565,0.829190,0.773089,0.829357,0.778995,4.195149,4.393513,4.182719,4.367531,0.170933,0.154799,0.172031,0.156342
15.110533,27.150946,9.779712,20.353065,0.923567,0.861655,0.950232,0.896287,0.818490,0.764143,0.821815,0.766783,4.027506,4.225635,4.009737,4.211217,0.186019,0.168566,0.187180,0.169141
35.993585,58.155027,19.473487,48.772183,0.936971,0.897423,0.965899,0.913950,0.798175,0.747411,0.804872,0.751391,4.412646,4.607491,4.363127,4.588162,0.185118,0.169247,0.186374,0.170095
5.767354,9.304638,3.707362,8.575036,0.980450,0.968402,0.987415,0.970880,0.832768,0.776567,0.836671,0.782951,3.897458,4.083344,3.865924,4.065187,0.202327,0.183661,0.204989,0.185270
12.086700,17.555110,6.961432,18.582050,0.915957,0.877993,0.951606,0.870856,0.824108,0.774047,0.826855,0.774273,3.894226,4.075982,3.873782,4.078001,0.196542,0.178702,0.196955,0.178701
8.744436,9.747776,7.421322,20.491887,0.955746,0.950582,0.962379,0.896108,0.835843,0.784079,0.832930,0.782611,4.053698,4.227561,4.057945,4.248277,0.183996,0.167192,0.184164,0.167423
10.417503,16.544990,7.836093,18.162425,0.938310,0.900621,0.952999,0.890912,0.824592,0.773389,0.827917,0.772419,3.638840,3.814842,3.617152,3.821287,0.240912,0.219876,0.242865,0.219661
34.772254,54.290605,14.414596,40.651218,0.905409,0.852005,0.960761,0.889196,0.808202,0.764652,0.819953,0.767411,3.944507,4.115002,3.873776,4.096524,0.230403,0.212940,0.232625,0.213161
10.236688,16.880442,5.302162,12.630441,0.936278,0.894558,0.966893,0.921105,0.826301,0.774241,0.830590,0.776793,3.821206,4.001895,3.782285,3.984507,0.219238,0.199666,0.220586,0.200010
23.449464,41.866484,12.675455,27.230205,0.930206,0.875197,0.962339,0.918839,0.849757,0.817454,0.855056,0.818787,4.345054,4.502743,4.307767,4.483446,0.173225,0.162106,0.174039,0.162048
12.404174,21.173530,6.809254,15.629286,0.960996,0.933207,0.978601,0.950728,0.836518,0.794417,0.850838,0.794937,3.677622,3.842993,3.623792,3.821974,0.248444,0.229145,0.252807,0.230830
19.649689,32.323190,11.693830,28.116764,0.924861,0.875996,0.955175,0.892127,0.808502,0.761694,0.814584,0.760819,3.886303,4.064493,3.845647,4.065210,0.237064,0.218175,0.239496,0.217504
15.378808,23.252084,10.098639,25.316400,0.916623,0.872374,0.944612,0.861036,0.797106,0.737723,0.795438,0.740298,4.100652,4.308977,4.090738,4.303657,0.186553,0.167279,0.185837,0.168065
13.672294,20.259408,8.848554,22.629674,0.960347,0.940704,0.974219,0.933684,0.806890,0.745888,0.804329,0.752312,4.061555,4.268602,4.054259,4.254943,0.209477,0.188345,0.208758,0.189880
28.153487,61.739368,20.209479,29.810340,0.910719,0.803842,0.935913,0.905282,0.788499,0.733810,0.789205,0.739692,4.072063,4.282627,4.059598,4.237523,0.210015,0.190562,0.210596,0.190935
18.375907,39.388197,12.992184,19.956021,0.945858,0.883943,0.961750,0.941203,0.781296,0.724667,0.782054,0.731472,4.168883,4.399292,4.169978,4.338337,0.213861,0.191460,0.211630,0.194052
14.398355,28.110784,7.962953,14.413747,0.943053,0.888822,0.968537,0.942996,0.838549,0.796750,0.842762,0.801752,3.495332,3.676417,3.463119,3.626411,0.285292,0.265146,0.285785,0.266871
6.064790,8.772057,3.184504,8.684706,0.928837,0.897008,0.962687,0.898044,0.843936,0.798785,0.852690,0.801100,3.516837,3.683719,3.477538,3.672475,0.249375,0.229798,0.252620,0.230934
11.325291,18.043203,6.856395,16.587783,0.938138,0.901302,0.962593,0.909249,0.891416,0.852664,0.889827,0.853315,3.861980,4.026453,3.856871,4.021554,0.216280,0.204284,0.215553,0.204510
16.012809,25.645346,11.777455,27.633257,0.939532,0.903188,0.955532,0.895684,0.895009,0.861354,0.888486,0.860675,3.654810,3.813967,3.679939,3.817340,0.244808,0.233189,0.242178,0.233054
