# n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,score_training,score
50,5,50,20,auto,False,0.9344827586206896,0.684931506849315
50,10,2,1,auto,True,1.0,0.7123287671232876
50,10,2,1,auto,False,1.0,0.7808219178082192
50,10,2,2,auto,True,1.0,0.7534246575342466
50,10,2,2,auto,False,1.0,0.7808219178082192
50,10,2,5,auto,True,0.993103448275862,0.726027397260274
50,10,2,5,auto,False,1.0,0.7123287671232876
50,10,2,10,auto,True,0.9379310344827586,0.7123287671232876
50,10,2,10,auto,False,1.0,0.726027397260274
50,10,2,20,auto,True,0.8310344827586207,0.6986301369863014
50,10,2,20,auto,False,0.9620689655172414,0.684931506849315
50,10,5,1,auto,True,1.0,0.6986301369863014
50,10,5,1,auto,False,1.0,0.7123287671232876
50,10,5,2,auto,True,1.0,0.7808219178082192
50,10,5,2,auto,False,1.0,0.7671232876712328
50,10,5,5,auto,True,0.993103448275862,0.726027397260274
50,10,5,5,auto,False,1.0,0.7123287671232876
50,10,5,10,auto,True,0.9379310344827586,0.7123287671232876
50,10,5,10,auto,False,1.0,0.726027397260274
50,10,5,20,auto,True,0.8310344827586207,0.6986301369863014
